,2009,2013,2017,2018,2019,ups,downs,avg
10-09,10.740786888515522,0.0,0.0,0.0,0.0,1.0,3.0,2.1481573777031047
10-10,10.740786888515522,0.0,0.0,0.0,0.0,1.0,3.0,2.1481573777031047
10-11,10.740786888515522,0.0,0.0,0.0,0.0,1.0,3.0,2.1481573777031047
10-12,10.740786888515522,0.0,0.0,0.0,0.0,1.0,3.0,2.1481573777031047
10-13,-0.13331097111262327,0.0,0.0,0.0,0.0,0.0,4.0,-0.026662194222524655
10-14,-0.13331097111262327,0.0,0.0,0.0,0.0,0.0,4.0,-0.026662194222524655
10-15,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
10-16,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
10-17,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
10-18,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
10-19,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
10-20,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
10-22,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
10-23,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
10-24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
10-25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
10-26,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
10-27,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
10-29,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
10-30,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
10-31,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
11-01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
11-02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
11-03,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
11-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
11-06,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
11-07,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
11-08,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
11-09,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
11-10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
11-12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
11-13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
11-14,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
11-15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
11-16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
11-17,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
11-19,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
11-20,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
11-21,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
