,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
03-08,68.18181787394296,-19.99999552965171,68.42105294115987,-8.77193202602569,-9.836065733954968,-37.50000093132256,-19.230774521122516,-5.555550036607184,45.9459458370989,6.896545345519401,-3.3333300219643105,4.0,7.0,7.747064836097472
03-09,68.18181787394296,-33.33332505491078,68.42105294115987,-4.999995032946465,-3.0769294253470134,-37.50000093132256,-14.8148111355159,-5.555550036607184,44.44444582418153,31.03447974649528,-3.3333300219643105,4.0,7.0,9.951623158833222
03-10,69.56521781383253,-19.99999552965171,71.42857087565262,-6.779664955205086,-3.0769294253470134,-29.99999329447756,-34.78260728722486,-5.555550036607184,38.46153528732649,33.33333498901784,26.666669978035692,5.0,6.0,12.660053492304707
03-11,71.9999998807907,-33.33332505491078,70.27027081450552,-6.779664955205086,-7.6923098084490045,-29.99999329447756,-34.78260728722486,-11.764703304297399,38.46153528732649,33.33333498901784,26.666669978035692,5.0,6.0,10.579927931373778
03-12,70.83333255723116,-33.33332505491078,70.27027081450552,-10.169492381566323,-4.6153895530476765,-24.99999813735488,-14.8148111355159,-18.750001164153247,38.46153528732649,20.00000496705353,12.000000476837158,5.0,6.0,9.534738788764098
03-13,69.56521781383253,-19.99999552965171,70.27027081450552,-10.169492381566323,5.797104579113892,-2.2222267845531776,-14.8148111355159,-18.750001164153247,38.46153528732649,20.00000496705353,19.35483932991305,6.0,5.0,14.317495072391337
03-14,71.9999998807907,-19.99999552965171,67.56756871046157,-15.517247580745027,0.0,-4.444446946367871,-14.8148111355159,-18.750001164153247,38.46153528732649,14.285716566504258,15.151518161850625,5.0,6.0,12.176348750045445
03-15,71.9999998807907,-19.99999552965171,59.45945837098897,-11.666665010982154,8.695652549493667,-4.444446946367871,-14.8148111355159,-18.750001164153247,39.39394089910713,32.35294066085948,-3.7037000244047897,5.0,6.0,12.592942959105846
03-16,71.9999998807907,-19.99999552965171,59.72222498169641,-17.857147038591133,9.999999148505061,-4.444446946367871,-14.8148111355159,-6.250003492459732,47.14285556150939,32.35294066085948,-3.7037000244047897,5.0,6.0,14.013446915124538
03-17,71.9999998807907,-33.33332505491078,51.351350045186756,-24.528313557335853,9.999999148505061,-11.111114054550438,-37.03703335773813,5.555558315029741,41.42857094200289,32.35294066085948,-3.7037000244047897,6.0,5.0,9.361357540312243
03-18,70.83333255723116,-9.999997764825855,51.351350045186756,-24.528313557335853,7.142858967489157,2.083331393077926,-40.740733382142906,0.0,41.42857094200289,32.35294066085948,-16.66666977107532,6.0,5.0,10.296060917315224
03-19,73.07692197476614,-19.99999552965171,51.351350045186756,-28.301895067929053,6.060609070941537,6.250000388051082,-40.740733382142906,9.999997764825855,41.42857094200289,32.35294066085948,10.344828294942287,8.0,3.0,12.892963196532033
03-20,71.9999998807907,-19.99999552965171,47.297299909626474,-33.33333333333333,3.0769202554013266,-9.756095610793876,-40.740733382142906,9.999997764825855,41.42857094200289,35.29411867828104,7.142860944173759,7.0,4.0,10.219055501743656
03-21,71.9999998807907,-19.99999552965171,45.83333747254461,-31.666665010982157,-8.196723073504641,-21.951220575930613,-40.740733382142906,15.000000372529025,41.42857094200289,42.10526274512018,21.428572188834753,6.0,5.0,10.476400548146373
03-22,71.9999998807907,-19.99999552965171,34.24657853017889,-55.555544517658824,-12.499998669539185,-16.27906783327278,-37.03703335773813,20.0000029802322,41.42857094200289,32.35294066085948,4.3478283404402145,6.0,5.0,5.727661947876706
03-23,71.9999998807907,-19.99999552965171,36.36363354877704,-54.54545553065526,1.5624985448084443,-16.27906783327278,-37.03703335773813,20.0000029802322,42.25351988524342,38.2352966957026,4.3478283404402145,7.0,4.0,7.900111602243341
03-24,73.07692197476614,-19.99999552965171,35.135137420923165,-57.40740556775796,1.5624985448084443,-16.27906783327278,-42.307699361496674,15.000000372529025,42.25351988524342,38.2352966957026,-13.043472063789409,6.0,5.0,5.1114304125458405
03-25,71.9999998807907,-19.99999552965171,33.333337472544606,-57.40740556775796,3.1249970896168886,-16.27906783327278,-34.61538726056125,9.999997764825855,42.25351988524342,38.2352966957026,-18.18181448731539,6.0,5.0,4.769407100924092
