,2019,2020,ups,downs,avg
09-30,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
10-01,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
10-02,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
10-03,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
10-04,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
10-05,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
10-06,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
10-07,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
10-08,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
10-09,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
10-10,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
10-11,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
10-12,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
10-13,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
10-14,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
10-15,0.7999992370605469,0.0,1.0,1.0,0.39999961853027344
10-16,0.0,0.0,0.0,2.0,0.0
10-17,0.0,0.0,0.0,2.0,0.0
10-18,0.0,0.0,0.0,2.0,0.0
10-19,0.0,0.0,0.0,2.0,0.0
10-20,0.0,0.0,0.0,2.0,0.0
10-21,0.0,0.0,0.0,2.0,0.0
10-22,0.0,0.0,0.0,2.0,0.0
10-23,0.0,0.0,0.0,2.0,0.0
10-24,0.0,0.0,0.0,2.0,0.0
10-25,0.0,0.0,0.0,2.0,0.0
10-26,0.0,0.0,0.0,2.0,0.0
10-27,0.0,0.0,0.0,2.0,0.0
10-28,0.0,0.0,0.0,2.0,0.0
10-29,0.0,0.0,0.0,2.0,0.0
10-30,0.0,0.0,0.0,2.0,0.0
10-31,0.0,0.0,0.0,2.0,0.0
11-01,0.0,0.0,0.0,2.0,0.0
11-02,0.0,0.0,0.0,2.0,0.0
11-03,0.0,0.0,0.0,2.0,0.0
11-04,0.0,0.0,0.0,2.0,0.0
11-05,0.0,0.0,0.0,2.0,0.0
11-06,0.0,0.0,0.0,2.0,0.0
11-07,0.0,0.0,0.0,2.0,0.0
11-08,-2.0,0.0,0.0,2.0,-1.0
11-09,-2.0,0.0,0.0,2.0,-1.0
11-10,-2.0,0.0,0.0,2.0,-1.0
11-11,-2.0,0.0,0.0,2.0,-1.0
11-12,-2.0,-2.0,0.0,2.0,-2.0
11-13,-2.0,-2.0,0.0,2.0,-2.0
11-14,-2.0,-2.0,0.0,2.0,-2.0
11-15,-2.0,-2.0,0.0,2.0,-2.0
11-18,-2.0,-2.0,0.0,2.0,-2.0
11-19,-2.0,-2.0,0.0,2.0,-2.0
11-20,-2.0,-2.0,0.0,2.0,-2.0
11-21,-2.0,-2.0,0.0,2.0,-2.0
11-22,-2.0,-2.0,0.0,2.0,-2.0
11-25,-2.0,-2.0,0.0,2.0,-2.0
11-26,-2.0,-2.0,0.0,2.0,-2.0
11-27,-2.0,-2.0,0.0,2.0,-2.0
11-29,-2.0,-2.0,0.0,2.0,-2.0
12-02,-2.0,-2.0,0.0,2.0,-2.0
12-03,-2.0,-2.0,0.0,2.0,-2.0
12-04,-2.0,-2.0,0.0,2.0,-2.0
12-05,-2.0,-2.0,0.0,2.0,-2.0
12-06,-2.0,-2.0,0.0,2.0,-2.0
12-09,-2.0,-2.0,0.0,2.0,-2.0
12-10,-2.0,-2.0,0.0,2.0,-2.0
12-11,-2.0,-2.0,0.0,2.0,-2.0
12-12,-2.0,-2.0,0.0,2.0,-2.0
12-13,-2.0,-2.0,0.0,2.0,-2.0
12-16,-2.0,-2.0,0.0,2.0,-2.0
12-17,-2.0,-2.0,0.0,2.0,-2.0
12-18,-2.0,-2.0,0.0,2.0,-2.0
12-19,-2.0,-2.0,0.0,2.0,-2.0
12-20,-2.0,-2.0,0.0,2.0,-2.0
12-23,-2.0,-2.0,0.0,2.0,-2.0
12-24,-2.0,-2.0,0.0,2.0,-2.0
12-26,-2.0,-2.0,0.0,2.0,-2.0
12-27,-2.0,-2.0,0.0,2.0,-2.0
12-30,-2.0,-2.0,0.0,2.0,-2.0
12-31,-2.0,-2.0,0.0,2.0,-2.0
